Buffer No.,Packet,Start Time (s),End Time (s),Data
32,1,-1.74162616417561E-06,0.00197425836182674,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
31,1,-1.78674801531997E-06,0.0019742132399756,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
30,1,-1.98588344346717E-06,0.00197433410454551,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
29,1,-1.73708232864556E-06,0.00197426290566227,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
28,1,-1.74163889710144E-06,0.00197425834909382,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
27,1,-1.9731214138119E-06,0.00197434686657516,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
26,1,-2.04173551310305E-06,0.00197427825247587,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
25,1,-1.770755460484E-06,0.00197422923253043,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
24,1,-1.73990903817867E-06,0.00197426007895274,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
23,1,-1.78339379885983E-06,0.00197421659419206,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
22,1,-1.78442880383045E-06,0.00197421555918709,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
21,1,-1.73652753687747E-06,0.00197426346045404,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
20,1,-2.02580116592799E-06,0.00197429418682304,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
19,1,-1.73727332253293E-06,0.00197426271466838,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
18,1,-1.82808636850496E-06,0.00197417190162241,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
17,1,-2.03522898800657E-06,0.00197428475900097,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
16,1,-1.75450097117391E-06,0.00197424548701974,FF FF 80 5A F3 5A 00 00 00 00 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
15,1,-1.99987692894865E-06,0.00197432011106002,FF FF 80 5A F3 5A FF FF 79 85 7A 8F FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
14,1,-1.74211547232517E-06,0.00197425787251859,FF FF 80 5A F3 5A 00 00 01 02 00 0A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
13,1,-1.74328144453284E-06,0.00197425670654638,FF FF 80 5A F3 5A 00 00 00 07 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
12,1,-1.74542057607141E-06,0.00197425456741485,FF FF 80 5A F3 5A 00 00 00 04 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
11,1,-1.75022088910737E-06,0.00197424976710181,FF FF 80 5A F3 5A FF FF 79 85 7A 8F FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
10,1,-2.05106692874324E-06,0.00197426892106023,FF FF 80 5A F3 5A 00 00 00 04 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
9,1,-1.81891684292168E-06,0.001974181071148,FF FF 80 5A F3 5A 03 02 00 02 01 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
8,1,-1.76375053229094E-06,0.00197423623745863,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
7,1,-1.92465262216501E-06,0.00197439533536681,FF FF 80 5A 41 5A FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
6,1,-1.7319254936865E-06,0.00197426806249723,FF FF
5,1,-1.73873033304517E-06,0.00197426125765787,FF FF
4,1,-1.74888756987457E-06,0.00197425110042104,FF FF
3,1,-1.73009195236773E-06,0.00197426989603855,FF FF
2,1,-1.75057377305166E-06,0.00197424941421787,FF FF
1,1,-1.79799300781269E-06,0.0019742019949831,FF FF FF
