Buffer No.,Packet,Start Time (s),End Time (s),Data
32,1,-2.05199461333905E-06,0.00197426799337563,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
31,1,-1.83920039376062E-06,0.00197416078759716,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
30,1,-1.73841564787836E-06,0.00197426157234304,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
29,1,-2.0565893805724E-06,0.0019742633986084,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
28,1,-1.73777718259771E-06,0.00197426221080832,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
27,1,-1.74044927803152E-06,0.00197425953871289,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
26,1,-1.73747523035672E-06,0.00197426251276056,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
25,1,-1.73947066173241E-06,0.00197426051732918,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
24,1,-1.75832994386838E-06,0.00197424165804705,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
23,1,-1.73904501821198E-06,0.00197426094297271,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
22,1,-1.78733191091851E-06,0.00197421265608,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
21,1,-1.73702957795285E-06,0.00197426295841296,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
20,1,-1.74132603092403E-06,0.00197425866195999,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
19,1,-1.77357125608069E-06,0.00197422641673484,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
18,1,-1.7723980079154E-06,0.001974227589983,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
17,1,-1.73860664176573E-06,0.00197426138134915,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
16,1,-1.97909679400254E-06,0.00197434089119497,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
15,1,-1.97444381910827E-06,0.00197434554416986,01 01 42 01 4C 00 01 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
14,1,-2.04794736191616E-06,0.00197427204062706,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
13,1,-1.7888162062718E-06,0.00197421117178465,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
12,1,-2.05487589255426E-06,0.00197426511209642,01 01 42 01 4C 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
11,1,-1.73925056401458E-06,0.0019742607374269,01 01 42 01 4C 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00
10,1,-1.78150568785895E-06,0.00197421848230306,01 01 42 01 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 42 00 00 00 00 00 00 00 81
9,1,-1.81258130282913E-06,0.00197418740668809,01 01 42 01 00 00
8,1,-2.03457233283189E-06,0.00197428541565614,01 01
7,1,-1.83247740892512E-06,0.00197416751058199,01 01
6,1,-1.74843282252368E-06,0.00197425155516839,01 01 81
5,1,-1.75334409391326E-06,0.001974246643897,01 01 81
4,1,-2.02173026764285E-06,0.00197429825772133,01 01
3,1,-1.75227634713337E-06,0.00197424771164378,01 01
2,1,-1.77273815893386E-06,0.00197422724983198,01 01
1,1,-2.05069767389432E-06,0.00197426929031508,01 01
